shift_id,shift,units_per_hour,defect_rate,meets_sla
1,D,493.83,0.154,1
2,B,267.39,0.434,0
3,B,445.21,0.106,1
4,C,299.11,0.469,1
5,C,213.66,0.117,0
6,D,401.15,0.292,1
7,B,248.0,0.073,0
8,C,51.83,0.126,0
9,C,483.78,0.352,1
10,A,465.56,0.093,1
11,A,231.79,0.04,0
12,A,163.53,0.157,0
13,D,225.91,0.448,0
14,C,137.8,0.493,0
15,B,187.95,0.204,0
16,A,34.95,0.441,0
17,A,215.0,0.057,0
18,C,395.81,0.328,1
19,B,174.49,0.13,0
20,A,164.0,0.142,0
21,C,180.19,0.394,0
22,D,187.51,0.159,0
23,A,450.34,0.447,1
24,B,331.72,0.11,1
25,A,197.75,0.188,0
26,B,77.3,0.032,0
27,C,96.52,0.159,0
28,C,72.16,0.477,0
29,B,483.95,0.371,1
30,D,470.72,0.165,1
31,C,79.89,0.341,0
32,A,16.66,0.433,0
33,D,74.44,0.301,0
34,C,301.74,0.295,1
35,D,370.93,0.39,1
36,D,359.8,0.338,1
37,B,289.75,0.208,1
38,B,339.39,0.099,1
39,D,270.57,0.186,0
40,A,208.24,0.36,0
41,A,338.18,0.239,1
42,B,443.79,0.188,1
43,A,343.61,0.07,1
44,A,291.38,0.439,1
45,D,85.18,0.131,0
46,C,232.02,0.33,0
47,A,300.21,0.187,1
48,B,367.94,0.019,1
49,A,318.16,0.295,1
50,D,64.42,0.116,0
51,A,350.41,0.359,1
52,C,456.37,0.092,1
53,C,479.05,0.196,1
54,B,181.21,0.326,0
55,A,141.32,0.343,0
56,D,431.76,0.015,1
57,C,252.87,0.363,0
58,D,211.47,0.048,0
59,D,284.12,0.389,0
60,C,136.49,0.289,0
61,D,210.88,0.132,0
62,B,379.25,0.016,1
63,A,74.39,0.491,0
64,C,366.41,0.247,1
65,A,364.23,0.385,1
66,C,385.06,0.211,1
67,D,119.09,0.252,0
68,C,274.8,0.46,0
69,A,332.11,0.475,1
70,A,491.62,0.311,1
71,D,12.65,0.443,0
72,D,25.57,0.006,0
73,C,104.26,0.32,0
74,C,42.26,0.324,0
75,C,63.8,0.172,0
76,D,486.81,0.24,1
77,A,458.0,0.465,1
78,D,395.5,0.148,1
79,D,83.13,0.023,0
80,A,258.94,0.121,0
81,C,338.55,0.154,1
82,D,338.0,0.108,1
83,B,400.86,0.357,1
84,A,340.81,0.244,1
85,D,103.58,0.26,0
86,C,429.66,0.1,1
87,D,309.23,0.228,1
88,D,468.03,0.264,1
89,C,337.18,0.027,1
90,B,222.72,0.006,0
91,C,360.53,0.027,1
92,D,229.34,0.325,0
93,A,446.72,0.235,1
94,C,97.12,0.12,0
95,D,419.59,0.25,1
96,A,58.27,0.422,0
97,D,356.74,0.086,1
98,A,400.64,0.447,1
99,B,298.9,0.023,1
100,D,104.7,0.278,0
101,C,205.03,0.017,0
102,C,339.04,0.349,1
103,D,169.05,0.376,0
104,D,465.15,0.162,1
105,B,179.38,0.477,0
106,B,319.66,0.353,1
107,A,381.12,0.009,1
108,C,62.42,0.243,0
109,B,477.13,0.231,1
110,C,267.27,0.205,0
111,D,139.38,0.414,0
112,A,263.95,0.257,0
113,D,456.39,0.38,1
114,B,118.57,0.171,0
115,D,458.6,0.38,1
116,D,204.38,0.393,0
117,B,33.12,0.229,0
118,A,403.75,0.451,1
119,B,119.95,0.052,0
120,C,300.39,0.423,1
121,B,223.07,0.014,0
122,C,85.33,0.271,0
123,B,394.94,0.381,1
124,A,378.13,0.08,1
125,B,171.68,0.295,0
126,C,138.38,0.426,0
127,A,414.46,0.283,1
128,A,10.58,0.376,0
129,B,430.22,0.027,1
130,B,51.57,0.298,0
131,D,154.2,0.471,0
132,A,34.52,0.484,0
133,A,377.06,0.129,1
134,C,181.48,0.038,0
135,B,263.43,0.219,0
136,A,31.11,0.268,0
137,C,103.64,0.277,0
138,D,382.54,0.451,1
139,B,61.75,0.057,0
140,B,74.99,0.221,0
141,B,203.89,0.137,0
142,D,375.3,0.42,1
143,B,499.88,0.488,1
144,A,149.83,0.462,0
145,A,336.38,0.377,1
146,A,484.93,0.475,1
147,B,464.63,0.036,1
148,A,144.69,0.13,0
149,C,106.24,0.477,0
150,A,493.71,0.175,1
151,A,378.47,0.215,1
152,A,293.48,0.056,1
153,B,54.15,0.455,0
154,B,294.87,0.164,1
155,D,45.34,0.081,0
156,B,344.3,0.245,1
157,B,360.47,0.383,1
158,D,145.83,0.22,0
159,C,35.17,0.114,0
160,D,82.48,0.138,0
161,C,28.02,0.203,0
162,B,462.28,0.327,1
163,C,10.37,0.338,0
164,B,468.81,0.102,1
165,B,119.91,0.219,0
166,B,116.27,0.436,0
167,A,105.05,0.085,0
168,D,30.14,0.135,0
169,C,37.04,0.125,0
170,A,443.64,0.252,1
171,C,116.79,0.176,0
172,C,155.99,0.272,0
173,D,230.56,0.304,0
174,B,295.0,0.044,1
175,A,361.76,0.445,1
176,D,398.16,0.067,1
177,D,75.51,0.489,0
178,B,49.98,0.062,0
179,D,150.99,0.332,0
180,A,135.57,0.328,0
181,D,374.07,0.205,1
182,A,493.12,0.058,1
183,B,477.94,0.471,1
184,A,91.46,0.435,0
185,C,75.43,0.045,0
186,D,268.28,0.071,0
187,A,368.32,0.14,1
188,D,404.49,0.175,1
189,D,71.93,0.074,0
190,A,84.19,0.273,0
191,A,387.12,0.435,1
192,D,267.1,0.038,0
193,B,364.76,0.138,1
194,A,50.02,0.404,0
195,A,427.19,0.378,1
196,B,152.99,0.17,0
197,D,207.89,0.411,0
198,B,143.92,0.175,0
199,A,375.27,0.32,1
200,A,263.66,0.14,0
201,D,52.52,0.171,0
202,B,123.26,0.012,0
203,A,72.78,0.224,0
204,B,71.17,0.176,0
205,A,117.88,0.192,0
206,A,246.86,0.323,0
207,D,243.66,0.039,0
208,C,38.79,0.48,0
209,C,377.26,0.293,1
210,C,147.24,0.403,0
211,A,94.74,0.167,0
212,A,192.89,0.195,0
213,B,101.14,0.124,0
214,A,319.94,0.451,1
215,C,35.44,0.065,0
216,D,464.91,0.141,1
217,B,212.77,0.25,0
218,A,233.68,0.292,0
219,C,19.72,0.076,0
220,C,357.15,0.283,1
221,D,114.35,0.283,0
222,A,386.74,0.244,1
223,A,121.14,0.496,0
224,B,365.0,0.054,1
225,D,145.14,0.008,0
226,D,211.77,0.143,0
227,B,443.79,0.395,1
228,C,320.68,0.491,1
229,A,246.92,0.484,0
230,C,42.28,0.004,0
231,C,62.33,0.122,0
232,D,152.52,0.391,0
233,C,314.55,0.349,1
234,A,470.36,0.171,1
235,B,272.98,0.297,0
236,C,460.36,0.191,1
237,B,284.61,0.487,0
238,B,313.0,0.489,1
239,A,203.29,0.404,0
240,D,77.8,0.27,0
241,D,166.0,0.143,0
242,C,330.39,0.242,1
243,C,46.26,0.113,0
244,A,429.21,0.201,1
245,B,368.09,0.02,1
246,D,420.07,0.374,1
247,A,244.23,0.175,0
248,B,168.65,0.031,0
249,B,382.05,0.32,1
250,D,427.58,0.382,1
251,A,419.41,0.216,1
252,C,47.57,0.274,0
253,C,243.93,0.134,0
254,C,335.63,0.432,1
255,C,397.51,0.106,1
256,A,436.49,0.104,1
257,A,259.11,0.031,0
258,C,214.59,0.345,0
259,A,427.74,0.25,1
260,C,427.21,0.244,1
261,A,455.01,0.068,1
262,D,433.27,0.079,1
263,A,176.5,0.349,0
264,A,371.03,0.087,1
265,C,206.54,0.186,0
266,C,341.97,0.003,1
267,B,241.97,0.381,0
268,C,397.46,0.084,1
269,C,483.01,0.029,1
270,B,78.05,0.302,0
271,D,59.82,0.102,0
272,D,229.62,0.431,0
273,A,210.99,0.354,0
274,B,291.55,0.471,1
275,B,221.62,0.048,0
276,C,447.14,0.234,1
277,A,266.71,0.052,0
278,D,220.76,0.156,0
279,A,365.51,0.438,1
280,C,459.09,0.061,1
281,D,78.52,0.234,0
282,D,367.22,0.121,1
283,D,78.13,0.325,0
284,C,218.93,0.288,0
285,C,321.93,0.236,1
286,C,452.49,0.15,1
287,C,191.76,0.227,0
288,B,100.86,0.281,0
289,B,302.68,0.412,1
290,A,435.81,0.205,1
291,C,104.91,0.175,0
292,D,25.25,0.183,0
293,C,289.93,0.244,1
294,B,186.44,0.13,0
295,A,427.4,0.093,1
296,B,447.81,0.457,1
297,C,452.78,0.114,1
298,C,475.3,0.373,1
299,B,221.61,0.206,0
300,D,335.71,0.299,1
301,C,143.52,0.212,0
302,C,214.47,0.0,0
303,B,162.6,0.015,0
304,C,308.23,0.328,1
305,C,235.37,0.237,0
306,A,57.68,0.326,0
307,C,142.74,0.257,0
308,A,43.8,0.137,0
309,A,48.05,0.09,0
310,A,33.68,0.484,0
311,C,27.07,0.493,0
312,D,208.89,0.317,0
313,A,209.34,0.1,0
314,B,45.09,0.481,0
315,A,444.29,0.367,1
316,B,400.52,0.424,1
317,C,424.82,0.468,1
318,C,186.95,0.382,0
319,D,92.44,0.342,0
320,A,68.42,0.452,0
321,C,443.11,0.009,1
322,B,10.01,0.475,0
323,D,342.9,0.128,1
324,A,496.13,0.393,1
325,A,464.54,0.003,1
326,A,445.62,0.246,1
327,B,180.42,0.494,0
328,C,309.58,0.093,1
329,A,353.04,0.077,1
330,A,273.57,0.386,0
331,B,104.34,0.041,0
332,D,463.03,0.386,1
333,D,148.69,0.03,0
334,D,336.65,0.431,1
335,C,169.41,0.284,0
336,B,112.62,0.266,0
337,C,255.7,0.012,0
338,B,347.53,0.04,1
339,C,94.54,0.391,0
340,B,392.26,0.227,1
341,B,19.65,0.155,0
342,A,290.92,0.181,1
343,D,379.46,0.029,1
344,A,401.34,0.337,1
345,D,109.8,0.115,0
346,D,454.86,0.009,1
347,A,43.27,0.192,0
348,B,124.0,0.165,0
349,B,44.5,0.05,0
350,C,414.61,0.315,1
351,C,167.38,0.448,0
352,A,118.3,0.224,0
353,A,368.0,0.241,1
354,C,369.87,0.172,1
355,B,317.36,0.114,1
356,C,308.04,0.267,1
357,C,477.99,0.254,1
358,B,164.94,0.18,0
359,D,350.04,0.455,1
360,A,402.79,0.484,1
361,B,391.06,0.082,1
362,B,317.8,0.334,1
363,B,353.45,0.324,1
364,A,140.99,0.068,0
365,C,167.09,0.434,0
366,C,289.87,0.415,1
367,D,85.62,0.444,0
368,D,334.24,0.365,1
369,D,257.93,0.424,0
370,A,163.38,0.277,0
371,D,427.0,0.228,1
372,B,67.85,0.43,0
373,D,417.61,0.469,1
374,C,286.64,0.368,1
375,D,349.73,0.063,1
376,D,485.25,0.157,1
377,D,355.92,0.155,1
378,B,112.58,0.17,0
379,B,241.2,0.025,0
380,A,495.96,0.278,1
381,D,165.13,0.013,0
382,B,55.59,0.041,0
383,A,410.41,0.272,1
384,C,292.17,0.19,1
385,A,23.49,0.454,0
386,D,485.88,0.031,1
387,C,17.87,0.124,0
388,B,221.83,0.182,0
389,D,465.64,0.3,1
390,D,140.18,0.187,0
391,A,426.58,0.164,1
392,C,281.59,0.253,0
393,A,72.82,0.198,0
394,B,241.35,0.115,0
395,D,317.09,0.141,1
396,B,348.46,0.3,1
397,D,379.75,0.183,1
398,C,40.79,0.061,0
399,D,91.0,0.367,0
400,C,337.43,0.14,1
401,D,459.19,0.284,1
402,B,258.19,0.343,0
403,A,483.47,0.321,1
404,B,354.7,0.325,1
405,A,115.58,0.026,0
406,D,237.43,0.431,0
407,C,300.81,0.036,1
408,C,146.26,0.116,0
409,A,37.97,0.086,0
410,B,188.95,0.492,0
411,C,175.7,0.042,0
412,C,347.01,0.275,1
413,B,408.39,0.176,1
414,A,293.34,0.156,1
415,B,421.95,0.126,1
416,A,228.9,0.25,0
417,A,224.03,0.349,0
418,D,406.37,0.273,1
419,A,435.45,0.478,1
420,C,25.73,0.461,0
421,C,306.13,0.047,1
422,C,244.11,0.075,0
423,D,482.59,0.006,1
424,D,268.08,0.276,0
425,A,373.32,0.08,1
426,C,441.78,0.178,1
427,B,72.61,0.131,0
428,A,179.07,0.226,0
429,A,419.24,0.241,1
430,C,93.55,0.424,0
431,D,279.26,0.286,0
432,A,395.75,0.24,1
433,D,267.61,0.363,0
434,A,416.27,0.089,1
435,A,244.64,0.478,0
436,D,177.63,0.204,0
437,D,155.21,0.367,0
438,A,161.91,0.384,0
439,A,436.55,0.118,1
440,A,248.39,0.374,0
441,C,408.88,0.374,1
442,D,471.7,0.364,1
443,C,418.37,0.063,1
444,A,336.42,0.375,1
445,C,274.76,0.246,0
446,C,133.98,0.372,0
447,A,182.45,0.399,0
448,C,187.69,0.057,0
449,D,267.37,0.353,0
450,C,110.62,0.072,0
451,D,192.88,0.187,0
452,B,137.85,0.437,0
453,D,57.0,0.279,0
454,B,173.69,0.061,0
455,B,191.01,0.295,0
456,A,60.28,0.05,0
457,B,127.72,0.419,0
458,C,218.81,0.168,0
459,C,402.74,0.244,1
460,A,301.14,0.29,1
461,D,56.78,0.234,0
462,C,218.16,0.154,0
463,B,471.15,0.17,1
464,A,247.94,0.051,0
465,A,24.26,0.466,0
466,A,193.07,0.054,0
467,B,190.96,0.431,0
468,C,487.95,0.271,1
469,A,329.22,0.358,1
470,D,311.06,0.169,1
471,C,156.96,0.37,0
472,C,293.95,0.46,1
473,D,442.93,0.457,1
474,C,91.96,0.24,0
475,A,343.88,0.068,1
476,B,210.17,0.325,0
477,D,128.59,0.22,0
478,C,302.3,0.175,1
479,A,99.05,0.036,0
480,B,109.02,0.151,0
481,A,226.64,0.454,0
482,A,89.75,0.446,0
483,C,138.71,0.277,0
484,B,199.07,0.323,0
485,D,22.91,0.196,0
486,D,183.93,0.227,0
487,D,106.62,0.293,0
488,B,342.99,0.22,1
489,D,386.4,0.207,1
490,B,335.8,0.078,1
491,B,490.19,0.306,1
492,D,292.39,0.308,1
493,C,43.11,0.031,0
494,A,415.89,0.061,1
495,A,255.21,0.183,0
496,B,35.23,0.111,0
497,A,358.74,0.229,1
498,C,403.03,0.325,1
499,B,138.34,0.407,0
500,D,111.38,0.387,0
501,C,199.9,0.294,0
502,B,164.3,0.462,0
503,B,356.81,0.32,1
504,D,236.27,0.457,0
505,A,107.12,0.008,0
506,A,152.54,0.033,0
507,C,360.9,0.403,1
508,B,149.05,0.126,0
509,D,389.89,0.187,1
510,D,373.15,0.138,1
511,A,301.75,0.198,1
512,B,98.11,0.089,0
513,A,223.85,0.119,0
514,D,224.25,0.397,0
515,D,438.73,0.429,1
516,D,258.21,0.18,0
517,C,384.29,0.153,1
518,D,374.32,0.225,1
519,B,300.21,0.467,1
520,D,403.57,0.103,1
521,B,270.81,0.172,0
522,B,148.45,0.195,0
523,B,346.21,0.122,1
524,D,377.06,0.137,1
525,B,301.39,0.122,1
526,D,242.98,0.124,0
527,A,402.05,0.469,1
528,B,378.32,0.367,1
529,A,81.91,0.096,0
530,D,266.69,0.289,0
531,C,359.16,0.148,1
532,C,186.49,0.142,0
533,B,392.35,0.287,1
534,A,265.6,0.227,0
535,C,379.56,0.435,1
536,A,62.39,0.464,0
537,D,261.58,0.381,0
538,B,403.93,0.423,1
539,B,459.86,0.328,1
540,C,340.75,0.147,1
541,B,384.16,0.204,1
542,B,409.88,0.049,1
543,B,373.55,0.259,1
544,B,184.9,0.067,0
545,D,47.39,0.324,0
546,A,124.96,0.007,0
547,C,26.6,0.224,0
548,C,475.2,0.472,1
549,D,378.85,0.133,1
550,D,192.0,0.448,0
551,C,479.54,0.358,1
552,D,34.51,0.269,0
553,C,91.55,0.407,0
554,A,195.81,0.144,0
555,B,488.51,0.32,1
556,B,134.95,0.496,0
557,D,208.24,0.464,0
558,C,31.03,0.22,0
559,D,157.85,0.347,0
560,C,259.24,0.302,0
561,A,47.72,0.46,0
562,D,177.96,0.313,0
563,D,464.85,0.056,1
564,C,218.43,0.416,0
565,A,386.73,0.424,1
566,A,465.2,0.013,1
567,B,174.21,0.257,0
568,C,246.61,0.193,0
569,B,250.99,0.414,0
570,B,13.07,0.389,0
571,C,57.0,0.071,0
572,A,495.37,0.075,1
573,B,33.96,0.419,0
574,B,118.53,0.286,0
575,A,197.21,0.278,0
576,C,176.01,0.039,0
577,A,161.7,0.355,0
578,A,285.17,0.266,1
579,B,360.4,0.368,1
580,A,470.85,0.408,1
581,D,332.49,0.338,1
582,C,498.52,0.032,1
583,D,223.14,0.207,0
584,D,269.88,0.457,0
585,B,18.53,0.276,0
586,C,173.32,0.118,0
587,A,130.05,0.309,0
588,B,165.16,0.079,0
589,B,327.4,0.488,1
590,A,74.51,0.408,0
591,A,154.58,0.498,0
592,A,465.66,0.5,1
593,B,446.13,0.452,1
594,C,88.25,0.42,0
595,C,215.61,0.256,0
596,B,87.39,0.145,0
597,A,325.34,0.17,1
598,C,236.43,0.268,0
599,D,207.7,0.254,0
600,D,331.86,0.272,1
601,A,462.4,0.352,1
602,B,43.07,0.293,0
603,C,108.8,0.292,0
604,B,244.04,0.27,0
605,D,296.91,0.225,1
606,C,133.37,0.135,0
607,B,427.26,0.24,1
608,D,127.77,0.065,0
609,D,249.11,0.298,0
610,C,431.82,0.168,1
611,C,410.94,0.329,1
612,A,217.29,0.132,0
613,B,50.98,0.321,0
614,B,43.1,0.481,0
615,D,456.8,0.484,1
616,C,435.33,0.388,1
617,B,462.51,0.079,1
618,C,29.09,0.428,0
619,B,368.41,0.082,1
620,C,78.51,0.376,0
621,D,484.91,0.317,1
622,B,86.41,0.398,0
623,D,402.22,0.218,1
624,A,313.51,0.11,1
625,D,364.37,0.183,1
626,B,316.74,0.035,1
627,B,276.57,0.318,0
628,A,145.98,0.005,0
629,C,190.9,0.001,0
630,B,348.43,0.08,1
631,B,218.47,0.359,0
632,D,301.48,0.136,1
633,B,406.55,0.067,1
634,D,242.12,0.181,0
635,A,286.36,0.449,1
636,D,172.62,0.378,0
637,A,236.68,0.379,0
638,D,320.99,0.167,1
639,A,54.26,0.139,0
640,C,479.55,0.224,1
641,D,404.3,0.243,1
642,C,62.81,0.229,0
643,B,283.82,0.23,0
644,C,373.17,0.334,1
645,B,208.28,0.251,0
646,B,16.89,0.44,0
647,B,71.09,0.001,0
648,D,255.68,0.059,0
649,C,355.12,0.161,1
650,B,98.44,0.232,0
651,D,256.75,0.172,0
652,A,492.67,0.283,1
653,B,143.23,0.4,0
654,D,456.82,0.473,1
655,B,309.45,0.113,1
656,A,289.14,0.344,1
657,C,139.79,0.073,0
658,B,356.23,0.162,1
659,C,357.36,0.432,1
660,B,271.69,0.486,0
661,A,180.93,0.279,0
662,C,395.79,0.185,1
663,A,336.75,0.038,1
664,B,44.31,0.013,0
665,D,125.21,0.188,0
666,D,72.25,0.374,0
667,A,319.96,0.285,1
668,C,466.61,0.447,1
669,A,124.72,0.057,0
670,D,12.84,0.337,0
671,C,402.43,0.463,1
672,A,373.72,0.427,1
673,B,278.02,0.146,0
674,B,225.0,0.081,0
675,B,242.24,0.17,0
676,C,301.04,0.064,1
677,B,23.86,0.477,0
678,B,410.31,0.079,1
679,A,161.34,0.429,0
680,B,348.57,0.084,1
681,A,384.87,0.497,1
682,C,477.01,0.128,1
683,A,290.56,0.278,1
684,C,470.36,0.034,1
685,A,57.84,0.342,0
686,C,439.29,0.301,1
687,A,125.37,0.351,0
688,A,293.07,0.433,1
689,A,376.83,0.311,1
690,B,402.52,0.432,1
691,A,360.54,0.402,1
692,C,261.68,0.131,0
693,D,101.96,0.229,0
694,C,373.04,0.132,1
695,A,170.39,0.33,0
696,D,42.27,0.068,0
697,A,220.36,0.158,0
698,B,391.26,0.044,1
699,C,272.01,0.39,0
700,B,115.48,0.169,0
701,B,23.13,0.241,0
702,A,260.91,0.03,0
703,C,335.32,0.129,1
704,A,445.17,0.014,1
705,B,460.38,0.435,1
706,B,488.41,0.341,1
707,B,298.07,0.341,1
708,C,442.29,0.348,1
709,A,408.55,0.286,1
710,D,106.62,0.155,0
711,B,124.68,0.482,0
712,C,407.14,0.084,1
713,B,298.07,0.228,1
714,C,250.49,0.213,0
715,D,284.25,0.301,1
716,D,380.16,0.22,1
717,A,81.05,0.068,0
718,C,67.22,0.343,0
719,D,138.22,0.08,0
720,A,313.59,0.237,1
721,B,21.94,0.416,0
722,B,483.83,0.196,1
723,C,57.69,0.473,0
724,B,107.88,0.353,0
725,A,370.67,0.191,1
726,A,455.7,0.443,1
727,B,229.47,0.395,0
728,A,18.61,0.23,0
729,D,145.19,0.032,0
730,C,491.66,0.006,1
731,B,38.88,0.398,0
732,C,496.76,0.286,1
733,B,110.58,0.173,0
734,A,358.87,0.301,1
735,D,447.68,0.063,1
736,D,88.8,0.33,0
737,A,43.12,0.032,0
738,B,342.42,0.274,1
739,A,97.78,0.302,0
740,D,379.18,0.459,1
741,B,202.43,0.038,0
742,D,247.21,0.48,0
743,A,417.24,0.017,1
744,C,457.56,0.259,1
745,B,440.37,0.053,1
746,B,362.31,0.056,1
747,C,192.17,0.22,0
748,A,144.0,0.079,0
749,C,221.89,0.181,0
750,C,383.98,0.295,1
751,C,209.22,0.213,0
752,B,59.78,0.307,0
753,B,66.1,0.417,0
754,D,443.65,0.144,1
755,C,291.35,0.091,1
756,C,17.88,0.391,0
757,B,246.94,0.267,0
758,D,183.56,0.356,0
759,D,25.44,0.008,0
760,C,34.01,0.152,0
761,A,395.65,0.039,1
762,D,53.82,0.388,0
763,C,245.84,0.467,0
764,C,340.16,0.471,1
765,C,375.83,0.314,1
766,B,147.44,0.164,0
767,A,221.15,0.209,0
768,C,184.09,0.105,0
769,C,438.45,0.008,1
770,A,370.45,0.263,1
771,D,21.72,0.092,0
772,C,229.62,0.145,0
773,C,204.38,0.04,0
774,C,219.6,0.467,0
775,D,169.1,0.098,0
776,A,43.4,0.283,0
777,D,363.08,0.148,1
778,D,183.54,0.409,0
779,C,484.88,0.429,1
780,D,326.7,0.214,1
781,A,276.77,0.106,0
782,C,38.95,0.084,0
783,A,116.43,0.308,0
784,A,150.09,0.13,0
785,C,108.65,0.212,0
786,D,69.61,0.43,0
787,A,364.2,0.249,1
788,B,345.71,0.033,1
789,A,368.06,0.016,1
790,C,155.0,0.141,0
791,C,376.45,0.331,1
792,C,467.76,0.187,1
793,A,72.29,0.105,0
794,B,431.1,0.158,1
795,C,458.2,0.351,1
796,C,481.11,0.388,1
797,B,280.75,0.4,0
798,C,286.5,0.433,1
799,D,281.53,0.184,0
800,B,198.64,0.262,0
